Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
53	33071.652	0.0	33071.652	33071.652	24.0	1709.7609	23741.416	9933.236	43693.42	5767.3477	1296	5865.4414	65048450.0	-454.93018	-63722940.0	-0.87180907	0.19891419	0.29166666	2.0	4482.804322957993
54	35467.34	0.0	35467.34	35467.34	24.0	1741.1821	14831.526	7171.4165	29693.895	1861.707	1320	-1956.9673	9272278.0	39.031616	-7666581.0	-0.8715255	0.107825525	0.375	3.0	4495.397540807724
55	40005.184	0.0	40005.184	40005.184	24.0	1907.8304	13992.273	9419.044	34189.29	1257.6191	1344	-4178.406	35472320.0	-856.1875	-30803732.0	-0.8709904	-0.38917407	1.0	79.0	4509.176114797592
56	39776.887	0.0	39776.887	39776.887	24.0	1852.4899	27980.787	9026.137	47397.633	11959.258	1368	6142.056	84783304.0	-548.4409	-78637020.0	-0.888998	0.3401672	0.8333333	1.0	4520.856831789017
57	39373.324	0.0	39373.324	39373.324	24.0	1863.0166	17327.22	11256.914	36860.9	11.370818	1392	-1346.1014	9677179.0	197.98804	-6041472.0	-0.8890005	0.16677646	0.7083333	2.0	4531.801668643951
58	39010.58	0.0	39010.58	39010.58	24.0	1878.1683	16802.326	9290.974	33783.734	2934.022	1416	-1822.3813	9500105.0	175.77393	-5914326.0	-0.88930047	0.13601683	0.9583333	2.0	4542.661621809006
59	32484.229	0.0	32484.229	32484.229	24.0	1697.9678	23240.459	8845.132	38953.094	6436.8174	1440	5800.7007	61604844.0	-253.47803	-60797930.0	-0.8897001	0.08115443	0.20833333	1.0	4552.497816801071
60	32127.164	0.0	32127.164	32127.164	24.0	1685.7008	16052.823	7035.1963	29410.023	2179.2888	1464	234.43999	1705194.0	-69.784775	-541412.6	-0.88970065	0.10862727	0.375	9.0	4562.212898015976
61	38651.457	0.0	38651.457	38651.457	24.0	1867.5067	13703.956	8884.601	31279.441	1141.2733	1488	-4030.9983	30839634.0	-805.9387	-28365902.0	-0.8908243	-0.4915119	0.9166667	79.0	4572.048123836517
62	37937.707	0.0	37937.707	37937.707	24.0	1781.3032	19746.088	9378.452	34801.668	1596.745	1512	763.5672	12927772.0	-236.83044	-6704963.5	-0.8975268	0.15535545	0.20833333	1.0	4581.716984033585
63	32883.855	0.0	32883.855	32883.855	24.0	1702.8356	19303.754	9351.113	40310.99	5281.744	1536	2617.6624	22522928.0	-258.09937	-20476878.0	-0.89756244	0.08300298	0.20833333	1.0	4591.566133975983
64	32922.207	0.0	32922.207	32922.207	24.0	1720.7421	14244.922	8126.1523	30010.527	484.2385	1560	-1264.8195	4719069.5	-166.33533	-3286492.0	-0.89756227	0.09444096	0.45833334	11.0	4601.478309869766
65	31675.31	0.0	31675.31	31675.31	24.0	1688.3756	16416.26	7282.4326	31133.947	1970.8169	1584	859.72235	3756020.8	-73.45532	-2305873.8	-0.89536077	0.07801412	0.45833334	13.0	4611.605372905731
66	31771.44	0.0	31771.44	31771.44	24.0	1680.7281	15397.249	6963.776	31856.21	4773.0103	1608	36.668232	3279064.2	-162.12393	-1460153.4	-0.8941644	0.119633675	0.41666666	2.0	4624.884089708328
67	39115.156	0.0	39115.156	39115.156	24.0	1858.1473	13696.841	9180.265	32134.348	449.47784	1632	-4118.869	33150128.0	-820.334	-30482676.0	-0.89434814	-0.41631797	1.0	79.0	4640.373816013336
68	32974.324	0.0	32974.324	32974.324	24.0	1711.4629	20088.709	8190.657	34801.305	5467.4175	1656	3198.5906	21405874.0	-220.96655	-19632876.0	-0.9253931	0.14209028	0.29166666	2.0	4654.637259960175
69	38753.723	0.0	38753.723	38753.723	24.0	1849.766	14678.841	8850.662	29730.176	975.5561	1680	-3300.0664	20899186.0	-660.0137	-18982434.0	-0.924926	-0.5062296	1.0	79.0	4670.127632856369
70	33486.586	0.0	33486.586	33486.586	24.0	1712.9974	19653.508	8219.211	36539.984	6938.847	1704	2567.7468	14314059.0	-243.57397	-12767273.0	-0.9299678	0.117283136	0.20833333	2.0	4684.300888776779
71	39032.152	0.0	39032.152	39032.152	24.0	1893.5375	14033.547	8611.619	31692.643	1278.7605	1728	-3858.9695	28642424.0	250.8252	-26240402.0	-0.9300606	0.09215351	0.7916667	1.0	4698.734780788422
72	36044.844	0.0	36044.844	36044.844	24.0	1755.1322	18995.686	10170.772	41688.94	2243.8438	1752	1140.8313	10979135.0	-112.645996	-8349367.0	-0.9300145	0.07574312	0.33333334	1.0	4715.245416879654
73	34765.508	0.0	34765.508	34765.508	24.0	1729.5934	19311.27	8477.094	35965.008	4057.0386	1776	1802.6195	11609893.0	-94.05603	-9123905.0	-0.9300013	0.1494257	0.33333334	1.0	4728.920003652573
74	30837.795	0.0	30837.795	30837.795	24.0	1681.3615	16358.9375	7387.517	29356.34	1843.5046	1800	1212.5149	6635230.0	-14.872437	-4913089.5	-0.9300521	0.08232188	0.45833334	3.0	4742.553167819977
75	37983.367	0.0	37983.367	37983.367	24.0	1849.2354	14898.934	8667.518	31320.691	708.98584	1824	-2799.7498	15708479.0	-553.2427	-13495191.0	-0.9304294	-0.47122434	0.875	79.0	4757.38112783432
76	31218.982	0.0	31218.982	31218.982	24.0	1678.3387	17880.4	8120.5273	35006.984	5091.7476	1848	2403.9954	12447152.0	-228.98828	-11620960.0	-0.9480292	0.17639981	0.20833333	2.0	4771.043910741806
77	32262.621	0.0	32262.621	32262.621	24.0	1709.4457	15208.864	7136.62	26857.744	1772.891	1872	-477.00754	2408908.5	-164.58102	-1207468.1	-0.9481967	0.0019897271	0.5416667	79.0	4785.547491788864
78	32123.098	0.0	32123.098	32123.098	24.0	1682.2015	15954.051	8107.1597	31694.318	2667.9216	1896	488.8552	2141221.8	-112.322845	-1049692.1	-0.9543841	0.09086802	0.375	8.0	4799.175805807114
79	32112.613	0.0	32112.613	32112.613	24.0	1696.8412	16139.13	8419.554	33454.656	2214.3945	1920	532.2768	2365751.8	-106.47748	-1654364.5	-0.95679307	0.08383357	0.41666666	5.0	4812.768798828125
80	38107.95	0.0	38107.95	38107.95	24.0	1881.1632	8732.444	7396.2617	24558.344	298.11136	1944	-7489.0664	105019520.0	-1448.0225	-100991100.0	-0.9586178	-0.54306525	0.9166667	79.0	4827.769033908844
81	33238.133	0.0	33238.133	33238.133	24.0	1694.2365	22029.275	10419.775	44601.496	8455.654	1968	4843.2866	50149170.0	-337.96875	-48892908.0	-1.049442	0.33380294	0.29166666	1.0	4842.006351709366
82	32144.111	0.0	32144.111	32144.111	24.0	1702.6993	15920.688	7641.0405	31602.69	2928.005	1992	248.8614	2377405.2	-108.263794	-1245060.9	-1.0499334	0.19666599	0.33333334	2.0	4856.475478887558
83	33691.375	0.0	33691.375	33691.375	24.0	1709.9281	15454.128	7328.501	29086.197	2236.384	2016	-788.99725	2821947.0	-150.94519	-1334926.6	-1.0506755	-0.11883744	0.5416667	79.0	4871.703779697418
84	34122.79	0.0	34122.79	34122.79	24.0	1721.7422	15679.255	8581.08	30841.152	653.60785	2040	-675.72833	2603406.5	-45.901245	-1414738.6	-1.0655234	0.09385926	0.5416667	10.0	4885.967378854752
85	32281.209	0.0	32281.209	32281.209	24.0	1709.3802	16314.649	7649.4077	31523.568	2058.8303	2064	653.0957	1871873.5	-51.063293	-1129814.8	-1.0662963	0.08824242	0.20833333	2.0	4900.1732087135315
86	30940.521	0.0	30940.521	30940.521	24.0	1679.5645	15340.12	6992.4688	29596.484	2912.1807	2088	334.7351	1120056.0	-93.55318	-344617.25	-1.0663869	0.10897824	0.375	3.0	4914.560836791992
87	32917.5	0.0	32917.5	32917.5	24.0	1708.4962	15552.484	6919.2217	29513.18	3810.6377	2112	-423.94946	2727811.2	-136.9223	-1193331.9	-1.0664455	0.07836493	0.625	11.0	4928.209982872009
88	37305.64	0.0	37305.64	37305.64	24.0	1778.8392	13784.253	7548.407	27173.25	556.7926	2136	-3409.2683	22963392.0	-536.5051	-21054960.0	-1.0661371	-0.484694	0.7916667	79.0	10886.021511793137
89	34057.363	0.0	34057.363	34057.363	24.0	1730.5055	18539.662	9360.4	38488.715	1656.5333	2160	1660.0884	8949011.0	-131.30603	-7537610.0	-1.0775186	0.084937714	0.29166666	1.0	10890.15171289444
90	32374.08	0.0	32374.08	32374.08	24.0	1707.5524	16970.355	8379.065	34270.594	2835.6016	2184	990.1682	3648784.2	-110.53223	-2725223.2	-1.0778829	0.1837535	0.375	1.0	10898.058009624481
91	34271.223	0.0	34271.223	34271.223	24.0	1723.6312	16333.644	7890.5884	30924.742	2730.8315	2208	-277.92163	1824629.5	25.608154	-986616.25	-1.0781933	0.18233712	0.5833333	2.0	10908.000916957855
92	34247.15	0.0	34247.15	34247.15	24.0	1721.3922	16717.492	8859.429	34664.11	746.42065	2232	119.656654	2149839.0	-140.64522	-1482892.5	-1.0787833	0.10932622	0.5416667	7.0	10918.243379831314
93	39852.355	0.0	39852.355	39852.355	24.0	1897.0726	12306.128	8266.54	28052.469	1139.404	2256	-5431.14	55809356.0	-1086.2275	-53676724.0	-1.0806637	-0.46163985	1.0	79.0	10929.210530042648
94	34592.152	0.0	34592.152	34592.152	24.0	1700.8008	24135.17	8476.312	39524.27	6672.3545	2280	5460.452	65882816.0	562.813	-63874480.0	-1.1149921	2.2351665	0.625	1.0	10940.216199874878
95	38366.527	0.0	38366.527	38366.527	24.0	1824.662	17066.273	9058.843	32483.459	960.0089	2304	-1292.1293	5878415.5	-24.469238	-3617103.8	-1.1152371	0.17946057	0.7083333	3.0	10952.069468736649
96	38968.17	0.0	38968.17	38968.17	24.0	1877.9137	14106.487	9586.61	33299.13	801.9271	2328	-3548.4814	26555216.0	-721.5918	-23305122.0	-1.1160641	-0.39414978	0.9583333	79.0	10966.873361825943
97	37504.71	0.0	37504.71	37504.71	24.0	1758.2125	22322.787	9330.002	41354.95	5545.5747	2352	3090.3118	26397598.0	-291.36377	-22649672.0	-1.1325887	0.44205084	0.41666666	1.0	10978.493265867233
98	38813.145	0.0	38813.145	38813.145	24.0	1853.87	19553.39	10933.264	36697.527	1715.3983	2376	652.6646	6290549.5	-161.9255	-2290497.2	-1.1326137	0.16878967	0.33333334	2.0	10990.242260932922
99	34033.062	0.0	34033.062	34033.062	24.0	1724.5485	19654.432	9387.772	36924.906	4195.2676	2400	2559.7974	14986212.0	-202.69385	-13939688.0	-1.1328461	0.104461215	0.16666667	1.0	11001.675608634949
100	39474.973	0.0	39474.973	39474.973	24.0	1892.1431	12781.344	8741.939	28393.322	750.014	2424	-4811.635	44587548.0	-962.3281	-42186344.0	-1.1329098	-0.5029027	1.0	79.0	11013.298758745193
101	34501.35	0.0	34501.35	34501.35	24.0	1731.7677	22750.697	9709.679	41742.31	7377.0737	2448	4738.4805	42681836.0	592.93896	-42193376.0	-1.1649076	1.1003004	0.625	1.0	11023.242349863052
102	34053.07	0.0	34053.07	34053.07	24.0	1723.8754	17192.998	7985.4165	31436.512	2210.9753	2472	464.56668	1747322.1	202.57864	-675093.5	-1.1648827	0.7168157	0.625	1.0	11032.811070919037
